,demo_url,X,team_1,score,team_2,league,type,date
419,https://www.hltv.org/download/demo/56250,419,Illuminar,10 - 16,Spirit,ESEA MDL Season 33 Europe,trn,12th of March 2020
420,https://www.hltv.org/download/demo/56249,420,HellRaisers,16 - 12,Singularity,ESEA MDL Season 33 Europe,d2,12th of March 2020
421,https://www.hltv.org/download/demo/56248,421,Japaleno,11 - 16,BIG,ESEA MDL Season 33 Europe,Inf,12th of March 2020
422,https://www.hltv.org/download/demo/56247,422,PACT,11 - 16,pro100,ESEA MDL Season 33 Europe,Inf,12th of March 2020
423,https://www.hltv.org/download/demo/56246,423,Spirit,8 - 16,Nemiga,ESEA MDL Season 33 Europe,Inf,12th of March 2020
424,https://www.hltv.org/download/demo/56245,424,Sprout,14 - 16,Nordavind,ESEA MDL Season 33 Europe,d2,12th of March 2020
425,https://www.hltv.org/download/demo/56244,425,Unicorns of Love,6 - 16,HellRaisers,ESEA MDL Season 33 Europe,d2,12th of March 2020
426,https://www.hltv.org/download/demo/56243,426,Spirit,16 - 5,Nordavind,ESEA MDL Season 33 Europe,Inf,12th of March 2020
427,https://www.hltv.org/download/demo/56242,427,HellRaisers,16 - 12,Wisla Krakow,ESEA MDL Season 33 Europe,d2,12th of March 2020
428,https://www.hltv.org/download/demo/56236,428,Rooster,2 - 1,Paradox,LPL Pro League Season 4,bo3,12th of March 2020
429,https://www.hltv.org/download/demo/56241,429,Ground Zero,12 - 16,Skyfire,ESEA MDL Season 33 Australia,mrg,12th of March 2020
430,https://www.hltv.org/download/demo/56240,430,ORDER,16 - 14,Ground Zero,ESEA MDL Season 33 Australia,Inf,12th of March 2020
431,https://www.hltv.org/download/demo/56239,431,Chiefs,22 - 20,Skyfire,ESEA MDL Season 33 Australia,Inf,12th of March 2020
432,https://www.hltv.org/download/demo/56235,432,VERTEX,2 - 0,i sleep,LPL Pro League Season 4,bo3,12th of March 2020
433,https://www.hltv.org/download/demo/56238,433,Incept,7 - 16,Paradox,ESEA MDL Season 33 Australia,d2,12th of March 2020
434,https://www.hltv.org/download/demo/56237,434,Rooster,16 - 9,TRIDENT,ESEA MDL Season 33 Australia,mrg,12th of March 2020
435,https://www.hltv.org/download/demo/56234,435,New England Whalers,16 - 11,Station7,ESEA MDL Season 33 North America,Inf,12th of March 2020
436,https://www.hltv.org/download/demo/56233,436,District 7,16 - 14,Thunder Logic,ESEA MDL Season 33 North America,mrg,12th of March 2020
437,https://www.hltv.org/download/demo/56232,437,Under 21,16 - 8,Recon 5,ESEA MDL Season 33 North America,nuke,12th of March 2020
438,https://www.hltv.org/download/demo/56230,438,Divine,14 - 16,TeamOne,ESEA MDL Season 33 North America,d2,12th of March 2020
439,https://www.hltv.org/download/demo/56229,439,In The Lab,16 - 10,Big Frames,ESEA MDL Season 33 North America,mrg,12th of March 2020
440,https://www.hltv.org/download/demo/56226,440,Bad News Bears,13 - 16,New England Whalers,ESEA MDL Season 33 North America,Inf,12th of March 2020
441,https://www.hltv.org/download/demo/56225,441,District 7,13 - 16,Chaos,ESEA MDL Season 33 North America,mrg,12th of March 2020
442,https://www.hltv.org/download/demo/56231,442,Triumph,11 - 16,Under 21,ESEA MDL Season 33 North America,Inf,12th of March 2020
443,https://www.hltv.org/download/demo/56224,443,Soberano,2 - 0,Bravos,CLUTCH Season 2,bo2,12th of March 2020
444,https://www.hltv.org/download/demo/56228,444,Mythic,14 - 16,Recon 5,ESEA MDL Season 33 North America,vtg,12th of March 2020
445,https://www.hltv.org/download/demo/56227,445,Oceanus,9 - 16,TeamOne,ESEA MDL Season 33 North America,d2,12th of March 2020
446,https://www.hltv.org/download/demo/56223,446,Station7,3 - 16,Big Frames,ESEA MDL Season 33 North America,ovp,12th of March 2020
447,https://www.hltv.org/download/demo/56222,447,Chaos,14 - 16,Swole Identity,ESEA MDL Season 33 North America,d2,12th of March 2020
448,https://www.hltv.org/download/demo/56221,448,Rugratz,16 - 14,Divine,ESEA MDL Season 33 North America,mrg,12th of March 2020
449,https://www.hltv.org/download/demo/56220,449,Bad News Bears,12 - 16,TeamOne,ESEA MDL Season 33 North America,nuke,12th of March 2020
450,https://www.hltv.org/download/demo/56219,450,In The Lab,13 - 16,Inf,ESEA MDL Season 33 North America,mrg,12th of March 2020
451,https://www.hltv.org/download/demo/56218,451,Triumph,5 - 16,Swole Patrol,ESEA MDL Season 33 North America,vtg,12th of March 2020
452,https://www.hltv.org/download/demo/56217,452,Swole Identity,12 - 16,Divine,ESEA MDL Season 33 North America,ovp,12th of March 2020
453,https://www.hltv.org/download/demo/56216,453,Chaos,16 - 8,Inf,ESEA MDL Season 33 North America,d2,12th of March 2020
454,https://www.hltv.org/download/demo/56215,454,Swole Patrol,16 - 3,In The Lab,ESEA MDL Season 33 North America,ovp,12th of March 2020
455,https://www.hltv.org/download/demo/56214,455,Rugratz,16 - 4,Oceanus,ESEA MDL Season 33 North America,mrg,12th of March 2020
456,https://www.hltv.org/download/demo/56213,456,Keyd,1 - 1,Isurus,CLUTCH Season 2,bo2,11th of March 2020
457,https://www.hltv.org/download/demo/56212,457,Illuminar,13 - 16,Nemiga,ESEA MDL Season 33 Europe,nuke,11th of March 2020
458,https://www.hltv.org/download/demo/56211,458,AGO,16 - 10,Nemiga,ESEA MDL Season 33 Europe,vtg,11th of March 2020
459,https://www.hltv.org/download/demo/56209,459,Japaleno,16 - 6,Nordavind,ESEA MDL Season 33 Europe,d2,11th of March 2020
460,https://www.hltv.org/download/demo/56210,460,pro100,16 - 13,HellRaisers,ESEA MDL Season 33 Europe,vtg,11th of March 2020
461,https://www.hltv.org/download/demo/56208,461,Demolition Crew,7 - 16,BIG,ESEA MDL Season 33 Europe,mrg,11th of March 2020
462,https://www.hltv.org/download/demo/56207,462,Wisla Krakow,17 - 19,Japaleno,ESEA MDL Season 33 Europe,d2,11th of March 2020
463,https://www.hltv.org/download/demo/56206,463,Spirit,16 - 6,Unicorns of Love,ESEA MDL Season 33 Europe,Inf,11th of March 2020
464,https://www.hltv.org/download/demo/56205,464,Sprout,16 - 12,Movistar Riders,ESEA MDL Season 33 Europe,nuke,11th of March 2020
465,https://www.hltv.org/download/demo/56199,465,Illuminar,7 - 16,BIG,ESEA MDL Season 33 Europe,mrg,11th of March 2020
466,https://www.hltv.org/download/demo/56198,466,Nemiga,16 - 6,Nordavind,ESEA MDL Season 33 Europe,nuke,11th of March 2020
467,https://www.hltv.org/download/demo/56197,467,Spirit,10 - 16,HellRaisers,ESEA MDL Season 33 Europe,vtg,11th of March 2020
468,https://www.hltv.org/download/demo/56196,468,GamerLegion,16 - 14,pro100,ESEA MDL Season 33 Europe,mrg,11th of March 2020
469,https://www.hltv.org/download/demo/56195,469,Sprout,16 - 11,PACT,ESEA MDL Season 33 Europe,trn,11th of March 2020
470,https://www.hltv.org/download/demo/56194,470,Nordavind,16 - 2,PACT,ESEA MDL Season 33 Europe,ovp,11th of March 2020
471,https://www.hltv.org/download/demo/56204,471,ORDER,1 - 2,AVANT,ESL Australia & NZ Championship Season 10,bo3,11th of March 2020
472,https://www.hltv.org/download/demo/56202,472,FURY,20 - 22,TRIDENT,ESEA MDL Season 33 Australia,vtg,11th of March 2020
473,https://www.hltv.org/download/demo/56203,473,Chiefs,1 - 2,Paradox,ESL Australia & NZ Championship Season 10,bo3,11th of March 2020
474,https://www.hltv.org/download/demo/56201,474,i sleep,16 - 7,Esper,ESEA MDL Season 33 Australia,Inf,11th of March 2020
475,https://www.hltv.org/download/demo/56200,475,PC419,16 - 8,Formidable,ESEA MDL Season 33 Australia,nuke,11th of March 2020
476,https://www.hltv.org/download/demo/56193,476,TeamOne,16 - 11,Recon 5,ESEA MDL Season 33 North America,nuke,11th of March 2020
477,https://www.hltv.org/download/demo/56192,477,LiViD,12 - 16,TeamOne,ESEA MDL Season 33 North America,nuke,11th of March 2020
478,https://www.hltv.org/download/demo/56191,478,Under 21,12 - 16,New England Whalers,ESEA MDL Season 33 North America,nuke,11th of March 2020
479,https://www.hltv.org/download/demo/56190,479,Big Frames,6 - 16,Recon 5,ESEA MDL Season 33 North America,nuke,11th of March 2020
480,https://www.hltv.org/download/demo/56189,480,Bad News Bears,13 - 16,Monstars,ESEA MDL Season 33 North America,Inf,11th of March 2020
481,https://www.hltv.org/download/demo/56188,481,TeamOne,19 - 17,Triumph,ESEA MDL Season 33 North America,d2,11th of March 2020
482,https://www.hltv.org/download/demo/56187,482,LiViD,9 - 16,Recon 5,ESEA MDL Season 33 North America,trn,11th of March 2020
483,https://www.hltv.org/download/demo/56186,483,Big Frames,14 - 16,Rugratz,ESEA MDL Season 33 North America,nuke,11th of March 2020
484,https://www.hltv.org/download/demo/56185,484,Under 21,16 - 7,Inf,ESEA MDL Season 33 North America,mrg,11th of March 2020
485,https://www.hltv.org/download/demo/56184,485,New England Whalers,11 - 16,Monstars,ESEA MDL Season 33 North America,ovp,11th of March 2020
486,https://www.hltv.org/download/demo/56254,486,ex-UP,10 - 16,Reapers,Aorus League 2020 #1 Brazil,nuke,11th of March 2020
487,https://www.hltv.org/download/demo/56183,487,Triumph,16 - 7,Thunder Logic,ESEA MDL Season 33 North America,ovp,11th of March 2020
488,https://www.hltv.org/download/demo/56182,488,Station7,4 - 16,ex-eUnited,ESEA MDL Season 33 North America,ovp,11th of March 2020
489,https://www.hltv.org/download/demo/56181,489,In The Lab,16 - 7,Divine,ESEA MDL Season 33 North America,Inf,11th of March 2020
490,https://www.hltv.org/download/demo/56253,490,Imperial,16 - 4,No2B,Aorus League 2020 #1 Brazil,ovp,11th of March 2020
491,https://www.hltv.org/download/demo/56180,491,Station7,7 - 16,Rugratz,ESEA MDL Season 33 North America,ovp,11th of March 2020
492,https://www.hltv.org/download/demo/56252,492,FURIA Inagame,16 - 5,NOORG,Aorus League 2020 #1 Brazil,Inf,10th of March 2020
493,https://www.hltv.org/download/demo/56176,493,Neverest,10 - 16,Paquetá,Aorus League 2020 #1 Brazil,nuke,10th of March 2020
494,https://www.hltv.org/download/demo/56175,494,AGO,19 - 15,pro100,ESEA MDL Season 33 Europe,trn,10th of March 2020
495,https://www.hltv.org/download/demo/56174,495,AGO,7 - 16,Nordavind,ESEA MDL Season 33 Europe,mrg,10th of March 2020
496,https://www.hltv.org/download/demo/56173,496,Demolition Crew,16 - 6,Illuminar,ESEA MDL Season 33 Europe,nuke,10th of March 2020
497,https://www.hltv.org/download/demo/56172,497,GamerLegion,16 - 14,Japaleno,ESEA MDL Season 33 Europe,ovp,10th of March 2020
498,https://www.hltv.org/download/demo/56171,498,Spirit,16 - 13,Movistar Riders,ESEA MDL Season 33 Europe,nuke,10th of March 2020
499,https://www.hltv.org/download/demo/56170,499,Demolition Crew,12 - 16,HellRaisers,ESEA MDL Season 33 Europe,mrg,10th of March 2020
500,https://www.hltv.org/download/demo/56169,500,BIG,14 - 16,Sprout,ESEA MDL Season 33 Europe,mrg,10th of March 2020
501,https://www.hltv.org/download/demo/56168,501,Spirit,16 - 3,PACT,ESEA MDL Season 33 Europe,Inf,10th of March 2020
502,https://www.hltv.org/download/demo/56167,502,Nemiga,13 - 16,HellRaisers,ESEA MDL Season 33 Europe,Inf,10th of March 2020
503,https://www.hltv.org/download/demo/56160,503,PACT,7 - 16,BIG,ESEA MDL Season 33 Europe,d2,10th of March 2020
504,https://www.hltv.org/download/demo/56166,504,Paradox,2 - 1,Ground Zero,ESL Australia & NZ Championship Season 10,bo3,10th of March 2020
505,https://www.hltv.org/download/demo/56163,505,PC419,5 - 16,Chiefs,ESEA MDL Season 33 Australia,Inf,10th of March 2020
506,https://www.hltv.org/download/demo/56165,506,Rooster,0 - 2,Chiefs,ESL Australia & NZ Championship Season 10,bo3,10th of March 2020
507,https://www.hltv.orgNA,507,Formidable,9 - 16,Incept,ESEA MDL Season 33 Australia,d2,10th of March 2020
508,https://www.hltv.org/download/demo/56162,508,PC419,7 - 16,Airborne,ESEA MDL Season 33 Australia,nuke,10th of March 2020
509,https://www.hltv.org/download/demo/56164,509,Skyfire,8 - 16,AVANT,ESEA MDL Season 33 Australia,mrg,10th of March 2020
510,https://www.hltv.orgNA,510,ROCK CANDY,0 - 1,ORDER,ESEA MDL Season 33 Australia,-,10th of March 2020
511,https://www.hltv.org/download/demo/56161,511,AVANT,16 - 9,Paradox,ESEA MDL Season 33 Australia,trn,10th of March 2020
512,https://www.hltv.org/download/demo/56159,512,Yeah,0 - 2,Envy,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,10th of March 2020
513,https://www.hltv.org/download/demo/56158,513,In The Lab,12 - 16,New England Whalers,ESEA MDL Season 33 North America,Inf,10th of March 2020
514,https://www.hltv.org/download/demo/56157,514,Divine,23 - 25,Monstars,ESEA MDL Season 33 North America,Inf,10th of March 2020
515,https://www.hltv.org/download/demo/56155,515,Station7,13 - 16,Recon 5,ESEA MDL Season 33 North America,Inf,10th of March 2020
516,https://www.hltv.org/download/demo/56153,516,TeamOne,16 - 14,Inf,ESEA MDL Season 33 North America,trn,10th of March 2020
517,https://www.hltv.org/download/demo/56154,517,Thunder Logic,6 - 16,Bad News Bears,ESEA MDL Season 33 North America,Inf,10th of March 2020
518,https://www.hltv.org/download/demo/56152,518,ex-eUnited,13 - 16,Chaos,ESEA MDL Season 33 North America,nuke,10th of March 2020
519,https://www.hltv.org/download/demo/56150,519,Station7,16 - 11,In The Lab,ESEA MDL Season 33 North America,mrg,10th of March 2020
520,https://www.hltv.org/download/demo/56149,520,Inf,14 - 16,Divine,ESEA MDL Season 33 North America,mrg,10th of March 2020
521,https://www.hltv.org/download/demo/56148,521,TeamOne,16 - 11,Swole Identity,ESEA MDL Season 33 North America,ovp,10th of March 2020
522,https://www.hltv.org/download/demo/56147,522,Big Frames,6 - 16,Bad News Bears,ESEA MDL Season 33 North America,nuke,10th of March 2020
523,https://www.hltv.org/download/demo/56146,523,Under 21,16 - 2,Oceanus,ESEA MDL Season 33 North America,nuke,10th of March 2020
524,https://www.hltv.org/download/demo/56151,524,DETONA,0 - 2,RED Canids,CLUTCH Season 2,bo2,10th of March 2020
525,https://www.hltv.org/download/demo/56156,525,Triumph,2 - 1,Orgless,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,9th of March 2020
526,https://www.hltv.org/download/demo/56145,526,Rugratz,16 - 4,Monstars,ESEA MDL Season 33 North America,mrg,10th of March 2020
527,https://www.hltv.org/download/demo/56144,527,Oceanus,16 - 13,New England Whalers,ESEA MDL Season 33 North America,nuke,10th of March 2020
528,https://www.hltv.org/download/demo/56143,528,In The Lab,7 - 16,Recon 5,ESEA MDL Season 33 North America,trn,10th of March 2020
529,https://www.hltv.org/download/demo/56142,529,ex-eUnited,16 - 3,Thunder Logic,ESEA MDL Season 33 North America,nuke,10th of March 2020
530,https://www.hltv.org/download/demo/56141,530,Under 21,16 - 1,Rugratz,ESEA MDL Season 33 North America,d2,10th of March 2020
531,https://www.hltv.org/download/demo/56139,531,ex-eUnited,16 - 8,TeamOne,ESEA MDL Season 33 North America,trn,10th of March 2020
532,https://www.hltv.org/download/demo/56140,532,W7M,2 - 0,Alma,CLUTCH Season 2,bo2,9th of March 2020
533,https://www.hltv.org/download/demo/56138,533,AGO,16 - 6,BIG,ESEA MDL Season 33 Europe,d2,9th of March 2020
534,https://www.hltv.org/download/demo/56137,534,Illuminar,11 - 16,Nordavind,ESEA MDL Season 33 Europe,mrg,9th of March 2020
535,https://www.hltv.org/download/demo/56136,535,pro100,16 - 10,Wisla Krakow,ESEA MDL Season 33 Europe,d2,9th of March 2020
536,https://www.hltv.org/download/demo/56135,536,BIG,16 - 9,Unicorns of Love,ESEA MDL Season 33 Europe,nuke,9th of March 2020
537,https://www.hltv.org/download/demo/56134,537,Nemiga,16 - 6,Wisla Krakow,ESEA MDL Season 33 Europe,Inf,9th of March 2020
538,https://www.hltv.org/download/demo/56133,538,AGO,6 - 16,Illuminar,ESEA MDL Season 33 Europe,trn,9th of March 2020
539,https://www.hltv.org/download/demo/56128,539,Nordavind,16 - 9,Wisla Krakow,ESEA MDL Season 33 Europe,mrg,9th of March 2020
540,https://www.hltv.org/download/demo/56127,540,BIG,11 - 16,GamerLegion,ESEA MDL Season 33 Europe,mrg,9th of March 2020
541,https://www.hltv.org/download/demo/56132,541,Chiefs,1 - 2,AVANT,ESL Australia & NZ Championship Season 10,bo3,9th of March 2020
542,https://www.hltv.org/download/demo/56130,542,Paradox,16 - 8,FURY,ESEA MDL Season 33 Australia,Inf,9th of March 2020
543,https://www.hltv.org/download/demo/56131,543,ORDER,2 - 0,Ground Zero,ESL Australia & NZ Championship Season 10,bo3,9th of March 2020
544,https://www.hltv.org/download/demo/56129,544,Rooster,16 - 13,i sleep,ESEA MDL Season 33 Australia,Inf,9th of March 2020
545,https://www.hltv.org/download/demo/56126,545,Envy,2 - 1,Chaos,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,9th of March 2020
546,https://www.hltv.org/download/demo/56125,546,Ze Pug Godz,1 - 2,Yeah,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,9th of March 2020
547,https://www.hltv.org/download/demo/56124,547,New England Whalers,19 - 17,Big Frames,ESEA MDL Season 33 North America,nuke,9th of March 2020
548,https://www.hltv.org/download/demo/56123,548,Thunder Logic,12 - 16,Recon 5,ESEA MDL Season 33 North America,nuke,9th of March 2020
549,https://www.hltv.org/download/demo/56120,549,Inf,13 - 16,Station7,ESEA MDL Season 33 North America,Inf,9th of March 2020
550,https://www.hltv.org/download/demo/56122,550,Mythic,1 - 2,Triumph,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
551,https://www.hltv.org/download/demo/56119,551,TeamOne,6 - 16,Monstars,ESEA MDL Season 33 North America,mrg,9th of March 2020
552,https://www.hltv.org/download/demo/56121,552,Orgless,2 - 1,ex-eUnited,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
553,https://www.hltv.org/download/demo/56118,553,Recon 5,16 - 9,Monstars,ESEA MDL Season 33 North America,Inf,9th of March 2020
554,https://www.hltv.org/download/demo/56117,554,New England Whalers,7 - 16,Inf,ESEA MDL Season 33 North America,Inf,9th of March 2020
555,https://www.hltv.org/download/demo/56116,555,GODSENT,2 - 1,OG,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
556,https://www.hltv.org/download/demo/56115,556,Dignitas,2 - 1,Nordavind,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
557,https://www.hltv.org/download/demo/56114,557,BIG,1 - 2,Movistar Riders,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
558,https://www.hltv.org/download/demo/56113,558,LiViD,0 - 2,Chaos,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
559,https://www.hltv.org/download/demo/56112,559,Divine,0 - 2,Yeah,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
560,https://www.hltv.org/download/demo/56111,560,Heroic,0 - 2,Copenhagen Flames,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
561,https://www.hltv.org/download/demo/56110,561,Triumph,2 - 0,Swole Identity,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
562,https://www.hltv.org/download/demo/56109,562,Rugratz,0 - 2,eUnited,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
563,https://www.hltv.org/download/demo/56108,563,Nordavind,2 - 1,Apeks,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
564,https://www.hltv.org/download/demo/56105,564,TYLOO,2 - 0,EHOME,Asia Minor Greater China Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
565,https://www.hltv.org/download/demo/56107,565,KOVA,0 - 2,OG,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
566,https://www.hltv.org/download/demo/56106,566,Lucid Dream,3 - 0,Beyond,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo5,8th of March 2020
567,https://www.hltv.org/download/demo/56104,567,SMASH,1 - 2,Movistar Riders,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
568,https://www.hltv.org/download/demo/56103,568,Copenhagen Flames,2 - 1,Sprout,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
569,https://www.hltv.org/download/demo/56102,569,EHOME,2 - 1,JiJieHao,Asia Minor Greater China Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
570,https://www.hltv.org/download/demo/56101,570,Beyond,2 - 1,BTRG,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
571,https://www.hltv.org/download/demo/56100,571,ORDER,2 - 0,Chiefs,Asia Minor Oceania Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
572,https://www.hltv.org/download/demo/56099,572,Lynn Vision,1 - 2,JiJieHao,Asia Minor Greater China Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
573,https://www.hltv.org/download/demo/56098,573,Chiefs,2 - 1,Ground Zero,Asia Minor Oceania Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
574,https://www.hltv.org/download/demo/56097,574,BTRG,2 - 0,HZ,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
575,https://www.hltv.orgNA,575,EHOME,1 - 0,R-Stars,Asia Minor Greater China Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
576,https://www.hltv.org/download/demo/56096,576,Rooster,1 - 2,Ground Zero,Asia Minor Oceania Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
577,https://www.hltv.org/download/demo/56094,577,Gen.G,2 - 0,Orgless,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
578,https://www.hltv.org/download/demo/56095,578,AVANT,0 - 2,Chiefs,Asia Minor Oceania Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
579,https://www.hltv.org/download/demo/56093,579,Cloud9,2 - 0,Mythic,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
580,https://www.hltv.org/download/demo/56092,580,Bad News Bears,2 - 0,Ze Pug Godz,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
581,https://www.hltv.org/download/demo/56091,581,FURIA,2 - 0,Envy,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,8th of March 2020
582,https://www.hltv.org/download/demo/56090,582,Orgless,2 - 1,Yeah,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
583,https://www.hltv.org/download/demo/56089,583,Chaos,1 - 2,Mythic,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
584,https://www.hltv.org/download/demo/56088,584,BIG,0 - 2,NiP,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
585,https://www.hltv.org/download/demo/56087,585,Complexity,2 - 0,GODSENT,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
586,https://www.hltv.org/download/demo/56086,586,Cloud9,2 - 0,LiViD,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
587,https://www.hltv.org/download/demo/56085,587,Gen.G,2 - 0,Divine,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
588,https://www.hltv.org/download/demo/56084,588,fnatic,2 - 1,Dignitas,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
589,https://www.hltv.org/download/demo/56083,589,Envy,2 - 1,Swole Identity,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
590,https://www.hltv.org/download/demo/56082,590,eUnited,1 - 2,Ze Pug Godz,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
591,https://www.hltv.org/download/demo/56081,591,FURIA,2 - 0,Triumph,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
592,https://www.hltv.org/download/demo/56079,592,Heretics,2 - 0,Heroic,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
593,https://www.hltv.org/download/demo/56080,593,Bad News Bears,2 - 1,Rugratz,Americas Minor North America Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
594,https://www.hltv.org/download/demo/56078,594,Camel Riders,3 - 2,Aequus,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,bo5,7th of March 2020
595,https://www.hltv.org/download/demo/56076,595,NiP,2 - 1,Apeks,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
596,https://www.hltv.org/download/demo/56075,596,Maple,1 - 2,BTRG,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
597,https://www.hltv.org/download/demo/56073,597,GODSENT,2 - 0,Copenhagen Flames,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
598,https://www.hltv.org/download/demo/56074,598,Bren,1 - 2,HZ,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
599,https://www.hltv.org/download/demo/56072,599,Complexity,2 - 0,Sprout,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
600,https://www.hltv.org/download/demo/56071,600,BIG,2 - 0,Nordavind,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
601,https://www.hltv.org/download/demo/56070,601,TYLOO,1 - 2,ViCi,Asia Minor Greater China Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
602,https://www.hltv.org/download/demo/56069,602,Lucid Dream,2 - 0,Beyond,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
603,https://www.hltv.org/download/demo/56068,603,Heroic,2 - 0,KOVA,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
604,https://www.hltv.org/download/demo/56067,604,Dignitas,2 - 0,Movistar Riders,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
605,https://www.hltv.org/download/demo/56066,605,Yalla,0 - 2,Aequus,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
606,https://www.hltv.org/download/demo/56065,606,OG,0 - 2,Heretics,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
607,https://www.hltv.org/download/demo/56064,607,fnatic,2 - 0,SMASH,Europe Minor Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
608,https://www.hltv.org/download/demo/56063,608,Ignis,2 - 0,Entry,UTAGE Japan League Season 4,bo3,7th of March 2020
609,https://www.hltv.org/download/demo/56062,609,EHOME,1 - 2,ViCi,Asia Minor Greater China Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
610,https://www.hltv.org/download/demo/56061,610,BTRG,0 - 2,Beyond,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
611,https://www.hltv.org/download/demo/56060,611,HZ,1 - 2,Lucid Dream,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
612,https://www.hltv.org/download/demo/56059,612,Aequus,2 - 0,Finest,Asia Minor Middle East Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
613,https://www.hltv.org/download/demo/56057,613,Maple,2 - 1,Paper Rex,Asia Minor SEA Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
614,https://www.hltv.org/download/demo/56056,614,OneThree,1 - 2,JiJieHao,Asia Minor Greater China Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
615,https://www.hltv.org/download/demo/56058,615,Renegades,2 - 1,ORDER,Asia Minor Oceania Closed Qualifier - ESL One Rio 2020,bo3,7th of March 2020
